redshift log_likelihood
4.99487964569367 -0.6098402891010252
4.9888877624889005 -0.6596493372461443
4.982901868172393 -0.6431684341379593
4.976921956758251 -0.5535917778038434
4.970948022266564 -0.543302508338022
4.964980058723398 -0.5833615289799373
4.959018060160787 -0.6558839576105471
4.953062020616732 -0.6871568178909837
4.947111934135195 -0.6972010948155549
4.941167794766087 -0.7448934348706158
4.93522959656527 -0.7241915909405451
4.929297333594543 -0.6562092932102148
4.923370999921644 -0.572984000172654
4.917450589620239 -0.5309838503284836
4.9115360967699155 -0.5153676052725653
4.9056275154561835 -0.5072074208614804
4.899724839770457 -0.4931035939041716
4.893828063810063 -0.46517782037369165
4.8879371816782236 -0.47111163987190124
4.882052187484057 -0.5680709496669153
4.876173075342567 -0.6572578367545427
4.870299839374644 -0.7209149965645592
4.864432473707048 -0.6689559017114415
4.858570972472414 -0.6036949228062995
4.852715329809241 -0.576033792191786
4.846865539861887 -0.5585758235581199
4.841021596780559 -0.5813686591602939
4.835183494721314 -0.5493187583403072
4.82935122784605 -0.48125226690686296
4.823524790322501 -0.45764501639100386
4.817704176324227 -0.5023229753414823
4.811889380030614 -0.567723454119135
4.806080395626865 -0.5911244701997098
4.800277217303996 -0.5722259768774953
4.794479839258828 -0.5373217078938101
4.788688255693981 -0.5658020319360522
4.782902460817873 -0.5435651233360622
4.7771224488447075 -0.47477911469157713
4.7713482139944725 -0.44028370010987167
4.765579750492932 -0.48401522714107176
4.759817052571623 -0.5711364032886664
4.754060114467845 -0.6482815076152819
4.748308930424663 -0.652522518525742
4.742563494690889 -0.6365819879337815
4.736823801521089 -0.6392878548528631
4.7310898451755685 -0.6140777505934212
4.7253616199203705 -0.5765012435770002
4.71963912002727 -0.5464665067614656
4.713922339773766 -0.4871546225046547
4.708211273443077 -0.48124032539586176
4.7025059153241395 -0.5322590856890715
4.6968062597115905 -0.5601327212773923
4.691112300905776 -0.5611903169089689
4.685424033212738 -0.6240093827765812
4.6797414509442055 -0.6384010251408183
4.674064548417598 -0.6397193561203782
4.668393319956011 -0.6431188988208651
4.6627277598882175 -0.6025202171338028
4.657067862548655 -0.5639320812689652
4.651413622277428 -0.5530128083461484
4.645765033420292 -0.519910647842201
4.640122090328661 -0.4991396975459968
4.6344847873595905 -0.48835137738790996
4.628853118875776 -0.47776573388531657
4.6232270792455505 -0.46528021930033925
4.6176066628428725 -0.492578534425905
4.611991864047325 -0.5224204577510541
4.60638267724411 -0.49739063493764957
4.60077909682404 -0.46290004859298645
4.5951811171835315 -0.43231660389761606
4.589588732724608 -0.39228022200419604
4.584001937854882 -0.39039757221932847
4.57842072698756 -0.42815588229442947
4.57284509454143 -0.4703554829630026
4.567275034940859 -0.5047078075312923
4.561710542615787 -0.4945642067235866
4.556151612001719 -0.47432701844821323
4.550598237539728 -0.4771173750798696
4.545050413676437 -0.46524830783841276
4.539508134864022 -0.46429121754698244
4.533971395560203 -0.4501967824137885
4.52844019022824 -0.45190218439483043
4.522914513336929 -0.45024640958000844
4.517394359360591 -0.463528539862633
4.511879722779073 -0.47005350662139656
4.506370598077735 -0.46593748399267865
4.500866979747456 -0.4988342095310458
4.495368862284614 -0.4987124254871739
4.489876240191094 -0.5089564902510253
4.484389107974271 -0.4973498121212493
4.478907460147012 -0.47541226192987757
4.473431291227669 -0.4827280626535925
4.467960595740076 -0.48526786872340144
4.462495368213532 -0.46371705671202523
4.4570356031828124 -0.44153937402484567
4.451581295188151 -0.4479608234355235
4.446132438775239 -0.47388824516738887
4.44068902849522 -0.48046544497946697
4.435251058904681 -0.49362899908071123
4.429818524565656 -0.5095290860269962
4.424391420045608 -0.5143991390484542
4.41896973991743 -0.47210652224379146
4.413553478759446 -0.4756879580311923
4.40814263115539 -0.5041923866750453
4.402737191694417 -0.4980725693806661
4.397337154971085 -0.4688744766940564
4.391942515585359 -0.44464084230130085
4.386553268142597 -0.4359099212634269
4.381169407253552 -0.4455491680821093
4.375790927534363 -0.46261698175918686
4.370417823606549 -0.46592354145915277
4.365050090097007 -0.4676553778663782
4.359687721638001 -0.4486330180733887
4.354330712867164 -0.4320242583228973
4.348979058427487 -0.4490546698830108
4.343632752967313 -0.4457161451735001
4.338291791140337 -0.4155851379039847
4.332956167605598 -0.36779109157131074
4.3276258770274705 -0.3731979111646495
4.322300914075664 -0.3831944671939002
4.316981273425216 -0.4094890108828835
4.311666949756483 -0.43656629725247864
4.306357937755143 -0.4480186663514392
4.3010542321121825 -0.47245000068406945
4.295755827523896 -0.4728005943635475
4.290462718691875 -0.45671968277377983
4.285174900323022 -0.432030887554455
4.279892367129509 -0.3781890379848924
4.274615113828795 -0.35664593553691487
4.269343135143634 -0.40005879239680997
4.264076425802057 -0.44444305959122243
4.258814980537343 -0.46289769170869977
4.25355879408804 -0.48266317187947133
4.2483078611979685 -0.5179638355613241
4.243062176616204 -0.520218935165221
4.237821735097055 -0.5011246131765831
4.232586531400067 -0.507684991794122
4.227356560290046 -0.4988894506214981
4.22213181653703 -0.4708943608064274
4.216912294916267 -0.45780502186180294
4.211697990208224 -0.44631958622636875
4.2064888971986045 -0.424030669696304
4.201285010678326 -0.4253093115416412
4.196086325443492 -0.47519728899498825
4.190892836295407 -0.510529634614251
4.185704538040591 -0.5240594975974431
4.1805214254907535 -0.4779959162944216
4.175343493462775 -0.4688114747882423
4.170170736778711 -0.4626779791737237
4.1650031502658145 -0.4654921142807581
4.159840728756508 -0.4635160831235896
4.1546834670883594 -0.44486125618723116
4.1495313601041 -0.4495364926912307
4.144384402651628 -0.4588130110873798
4.139242589583999 -0.4369528483145226
4.134105915759385 -0.44927751694099044
4.128974376041107 -0.4592147408241622
4.1238479652976325 -0.496559985718397
4.118726678402559 -0.5173127999939455
4.113610510234591 -0.500991925187381
4.108499455677549 -0.5020010403162594
4.10339350962039 -0.49878246297700984
4.098292666957175 -0.4900766328255375
4.09319692258705 -0.4952389232752034
4.088106271414264 -0.5176938717550124
4.083020708348174 -0.5205364434169192
4.077940228303224 -0.5194790101627952
4.072864826198926 -0.4913813175210919
4.067794496959868 -0.4725045018564279
4.062729235515729 -0.465048668483952
4.057669036801256 -0.47461852675595056
4.0526138957562425 -0.46445457813877206
4.0475638073255364 -0.4776591924093231
4.042518766459057 -0.486774296923535
4.037478768111775 -0.4844177784830166
4.032443807243681 -0.4938025943818507
4.027413878819803 -0.4909847556949395
4.022388977810223 -0.48746473977162935
4.0173690991900495 -0.46756985909559584
4.012354237939392 -0.4657386543108083
4.007344389043382 -0.4378119734451227
4.002339547492178 -0.4368607399484101
3.997339708280948 -0.4214536166059469
3.9923448664098418 -0.3844294112196245
3.9873550168840097 -0.3678109108350089
3.9823701547136103 -0.4208485809099802
3.9773902749137893 -0.4460397662163476
3.972415372504658 -0.4489712941645866
3.9674454425113046 -0.4626100208112312
3.9624804799638076 -0.463465075938321
3.9575204798972132 -0.4553874289248549
3.9525654373515113 -0.47745678229750343
3.9476153473716513 -0.4868319917809437
3.942670205007552 -0.4901948297123884
3.9377300053140765 -0.4936240553727951
3.9327947433510184 -0.48964242394981944
3.927864414183106 -0.4634707426059784
3.9229390128800192 -0.46019060963340513
3.9180185345163636 -0.46060286388298866
3.913102974171652 -0.47466743106649634
3.9081923269303154 -0.4752813209496772
3.9032865878817153 -0.46026162237552015
3.89838575212012 -0.46506574689097796
