# CSP logarithmically sampled (velscale=50.0)
# Wavelength, SSP_logage_04.00_z_0.0018, SSP_logage_07.50_z_0.0018, SSP_logage_09.00_z_0.0018, SSP_logage_04.00_z_0.0178, SSP_logage_07.50_z_0.0178, SSP_logage_09.00_z_0.0178
4.003003970447068696e+03 1.747271791100502014e-02 3.891005180776119232e-03 5.384528194554150105e-04 1.704414561390876770e-02 3.513193922117352486e-03 4.291721852496266365e-04
4.003671655323181767e+03 1.746630668640136719e-02 3.882365766912698746e-03 5.347113474272191525e-04 1.702348515391349792e-02 3.504742169752717018e-03 4.262980364728718996e-04
4.004339451566432672e+03 1.745134592056274414e-02 3.843744751065969467e-03 5.213616532273590565e-04 1.701734028756618500e-02 3.475596895441412926e-03 4.152725450694561005e-04
4.005007359195396475e+03 1.744710840284824371e-02 3.828829387202858925e-03 5.203740438446402550e-04 1.702968776226043701e-02 3.467477159574627876e-03 4.142179677728563547e-04
4.005675378228652335e+03 1.744220033288002014e-02 3.814163152128458023e-03 5.195755511522293091e-04 1.704060286283493042e-02 3.459416795521974564e-03 4.133403126616030931e-04
4.006343508684781227e+03 1.738272048532962799e-02 3.786600194871425629e-03 5.298276082612574100e-04 1.697774976491928101e-02 3.439056687057018280e-03 4.225366865284740925e-04
4.007011750582369132e+03 1.726243272423744202e-02 3.751329844817519188e-03 5.336321191862225533e-04 1.680868864059448242e-02 3.401065245270729065e-03 4.267593612894415855e-04
4.007680103940003391e+03 1.714510656893253326e-02 3.716998500749468803e-03 5.371802835725247860e-04 1.664372719824314117e-02 3.364033531397581100e-03 4.307354101911187172e-04
4.008348568776275442e+03 1.690690964460372925e-02 3.650364466011524200e-03 5.372772575356066227e-04 1.630604639649391174e-02 3.289908403530716896e-03 4.325756162870675325e-04
4.009017145109778994e+03 1.695391163229942322e-02 3.666277742013335228e-03 5.373345338739454746e-04 1.637504622340202332e-02 3.307071048766374588e-03 4.324598994571715593e-04
4.009685832959111394e+03 1.700489036738872528e-02 3.683408955112099648e-03 5.374182364903390408e-04 1.644980348646640778e-02 3.325612982735037804e-03 4.323207540437579155e-04
4.010354632342873629e+03 1.727969944477081299e-02 3.772334894165396690e-03 5.384459509514272213e-04 1.685074158012866974e-02 3.423638409003615379e-03 4.312062228564172983e-04
4.011023543279668502e+03 1.735493913292884827e-02 3.800692036747932434e-03 5.381197552196681499e-04 1.696600392460823059e-02 3.456119913607835770e-03 4.301743465475738049e-04
4.011692565788102911e+03 1.742189750075340271e-02 3.826229134574532509e-03 5.378627101890742779e-04 1.706859469413757324e-02 3.485396970063447952e-03 4.293115343898534775e-04
4.012361699886786482e+03 1.746015809476375580e-02 3.847763873636722565e-03 5.384843680076301098e-04 1.712749525904655457e-02 3.510676091536879539e-03 4.301017615944147110e-04
4.013030945594332479e+03 1.747385784983634949e-02 3.859450574964284897e-03 5.402222741395235062e-04 1.714306324720382690e-02 3.522157669067382812e-03 4.318948485888540745e-04
4.013700302929355985e+03 1.748532243072986603e-02 3.869920037686824799e-03 5.418963264673948288e-04 1.715586893260478973e-02 3.532337490469217300e-03 4.335802223067730665e-04
4.014369771910476629e+03 1.748681254684925079e-02 3.883715486153960228e-03 5.460707470774650574e-04 1.715360395610332489e-02 3.543970175087451935e-03 4.371296090539544821e-04
4.015039352556316317e+03 1.748249121010303497e-02 3.882027929648756981e-03 5.469999159686267376e-04 1.714544929563999176e-02 3.542507998645305634e-03 4.379696329124271870e-04
4.015709044885500134e+03 1.747858338057994843e-02 3.879841417074203491e-03 5.475582438521087170e-04 1.713823527097702026e-02 3.540704958140850067e-03 4.384898929856717587e-04
4.016378848916656352e+03 1.747154258191585541e-02 3.867669031023979187e-03 5.450586904771625996e-04 1.712718605995178223e-02 3.531460184603929520e-03 4.364512860774993896e-04
4.017048764668416879e+03 1.746983826160430908e-02 3.868564032018184662e-03 5.457605584524571896e-04 1.712999865412712097e-02 3.534526098519563675e-03 4.370728565845638514e-04
4.017718792159415898e+03 1.746884547173976898e-02 3.870506538078188896e-03 5.467888549901545048e-04 1.713335886597633362e-02 3.538237186148762703e-03 4.380412574391812086e-04
4.018388931408291683e+03 1.747204735875129700e-02 3.885102923959493637e-03 5.525667802430689335e-04 1.714781299233436584e-02 3.554539056494832039e-03 4.438197356648743153e-04
4.019059182433683873e+03 1.745879091322422028e-02 3.887728555127978325e-03 5.533536896109580994e-04 1.713320240378379822e-02 3.554960247129201889e-03 4.452797875273972750e-04
4.019729545254237109e+03 1.744222268462181091e-02 3.887995844706892967e-03 5.534020601771771908e-04 1.711361669003963470e-02 3.552651498466730118e-03 4.459003102965652943e-04
4.020400019888598308e+03 1.737405359745025635e-02 3.873311448842287064e-03 5.487032467499375343e-04 1.702608354389667511e-02 3.528298577293753624e-03 4.421471967361867428e-04
4.021070606355417112e+03 1.728133670985698700e-02 3.850082401186227798e-03 5.458266823552548885e-04 1.691975444555282593e-02 3.499165410175919533e-03 4.391798283904790878e-04
4.021741304673347258e+03 1.718619279563426971e-02 3.825555555522441864e-03 5.432364414446055889e-04 1.681545376777648926e-02 3.470880677923560143e-03 4.365988133940845728e-04
4.022412114861045211e+03 1.691751740872859955e-02 3.752896795049309731e-03 5.377027555368840694e-04 1.654460467398166656e-02 3.398937871679663658e-03 4.315947589930146933e-04
4.023083036937169709e+03 1.654904149472713470e-02 3.655367530882358551e-03 5.296538001857697964e-04 1.617491059005260468e-02 3.309420542791485786e-03 4.254172090440988541e-04
4.023754070920383583e+03 1.620469614863395691e-02 3.566558705642819405e-03 5.234153941273689270e-04 1.582286693155765533e-02 3.228466259315609932e-03 4.207609745208173990e-04
4.024425216829352394e+03 1.541255787014961243e-02 3.372034290805459023e-03 5.144394235685467720e-04 1.498555764555931091e-02 3.053548280149698257e-03 4.147268191445618868e-04
4.025096474682745338e+03 1.501384098082780838e-02 3.270714776590466499e-03 5.165914772078394890e-04 1.454331073909997940e-02 2.966889413073658943e-03 4.175663925707340240e-04
4.025767844499233888e+03 1.486627291887998581e-02 3.228465327993035316e-03 5.197219434194266796e-04 1.437584497034549713e-02 2.932660980150103569e-03 4.207091988064348698e-04
4.026439326297493608e+03 1.526722870767116547e-02 3.304303623735904694e-03 5.303564830683171749e-04 1.479981094598770142e-02 3.007987514138221741e-03 4.293243982829153538e-04
